"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"1" 73 0.1 3.6 215 0.1 5.1 215 0.1 5.1 249 0.1 7.1 73 0.1 3.6 62 1.4 100.7 73 0.1 3.6 73 0.1 3.6 73 0.1 3.6 73 0.1 3.6 62 1.4 100.7
"2" 16 0.2 7.8 106 0.1 7.2 6 0 2.2 6 0 2.2 6 0 2.2 106 0.1 7.2 6 0 2.2 6 0 2.2 6 0 2.2 6 0 2.2 6 0 2.2
"3" 59 0.1 5 161 0.2 11.4 123 0.1 5.7 161 0.2 11.4 223 0.2 11.7 161 0.2 11.4 161 0.2 11.4 39 0.4 10 39 0.4 10 39 0.4 10 39 0.4 10
"4" 250 0.1 7.8 250 0.1 7.8 193 0.1 5 250 0.1 7.8 193 0.1 5 250 0.1 7.8 193 0.1 5 194 0.1 3.2 194 0.1 3.2 194 0.1 3.2 194 0.1 3.2
"5" 87 0.1 5.4 87 0.1 5.4 159 0.1 8.9 226 0.1 7.6 87 0.1 5.4 87 0.1 5.4 87 0.1 5.4 87 0.1 5.4 87 0.1 5.4 87 0.1 5.4 87 0.1 5.4
"6" 2 0 2.2 2 0 2.2 131 0.1 9 64 0.1 9.2 64 0.1 9.2 2 0 2.2 106 0.1 7.3 106 0.1 7.3 106 0.1 7.3 106 0.1 7.3 106 0.1 7.3
"7" 115 0.1 8.1 149 0.1 2.2 149 0.1 2.2 115 0.1 8.1 159 0.1 5.8 115 0.1 8.1 115 0.1 8.1 149 0.1 2.2 115 0.1 8.1 115 0.1 8.1 149 0.1 2.2
"8" 248 0 2 162 0 1 162 0 1 166 0.1 6 162 0 1 162 0 1 162 0 1 237 0.1 5 237 0.1 5 237 0.1 5 237 0.1 5
"9" 11 0.2 6.1 93 0.4 13.9 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 11 0.2 6.1 126 0.3 5.8
"10" 94 0.1 5 94 0.1 5 213 0.1 9.4 94 0.1 5 213 0.1 9.4 94 0.1 5 94 0.1 5 94 0.1 5 94 0.1 5 94 0.1 5 94 0.1 5
"11" 126 0 2.2 9 0.1 6.1 126 0 2.2 126 0 2.2 126 0 2.2 126 0 2.2 126 0 2.2 126 0 2.2 126 0 2.2 126 0 2.2 93 0.5 11
"12" 170 0.1 6.3 170 0.1 6.3 170 0.1 6.3 170 0.1 6.3 170 0.1 6.3 23 0.1 3.6 170 0.1 6.3 170 0.1 6.3 170 0.1 6.3 170 0.1 6.3 23 0.1 3.6
"13" 37 0.2 5.1 192 0.2 8.9 95 0.3 13.5 192 0.2 8.9 246 0.2 18.7 235 0.2 9 37 0.2 5.1 37 0.2 5.1 37 0.2 5.1 37 0.2 5.1 37 0.2 5.1
"14" 128 0.1 11.2 128 0.1 11.2 83 0 2.8 128 0.1 11.2 83 0 2.8 83 0 2.8 128 0.1 11.2 83 0 2.8 83 0 2.8 83 0 2.8 83 0 2.8
"15" 55 0.2 8.9 55 0.2 8.9 145 0.1 8.1 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9 55 0.2 8.9
"16" 64 0.1 3 36 0.1 10.3 106 0 2.2 36 0.1 10.3 106 0 2.2 241 0.3 16.1 64 0.1 3 64 0.1 3 64 0.1 3 241 0.3 16.1 64 0.1 3
"17" 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 216 0 3.2 110 0.3 7.3 216 0 3.2
"18" 3 0.2 14.6 59 0.1 10 59 0.1 10 59 0.1 10 59 0.1 10 59 0.1 10 59 0.1 10 123 0.2 10 59 0.1 10 123 0.2 10 59 0.1 10
